Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,Tiny_URL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
accedi-ora-cc.199-192-25-140.cprapid.com,0,0,1,2,0,0,0,1,0,1,0,1,1,1,1,1,1
mailserv100347-103878.square.site,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
wedsedghy-103187.square.site,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
wedsedghy-103187.square.site,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
my-site-sbcg-104169.weeblysite.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
my-site-sbcg-104169.weeblysite.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
currentlyattservr023.square.site,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
att-business-105347-100106.square.site,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1
att-business-105347-100106.square.site,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1
att-109373.square.site,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
att-109373.square.site,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
lux.thesevensquares.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,0,0,1
emailverification724.godaddysites.com,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
service-attsupport.godaddysites.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
attautoverification.weebly.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
bellsouthupdatesignin.weebly.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
att-109902.weeblysite.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
linktr.ee,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1
linktr.ee,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
am23fcu.firebaseapp.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
project2-9b962.web.app,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
project2-9b962.firebaseapp.com,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
project2b-e738b.web.app,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
project2b-e738b.firebaseapp.com,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
project2c-c1dff.web.app,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
project2c-c1dff.firebaseapp.com,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
urlz.fr,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
rb.gy,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
ams-solutions.com,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1
8902050pgebsnss4cirstrctdrcvry106380.co.vu,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
www.club403.org,0,0,1,5,0,0,0,1,0,0,0,1,0,0,0,0,1
www.netfiix-sicher.com,0,0,0,2,0,0,0,1,0,1,0,0,1,1,1,1,1
ar-emiinent.firebaseapp.com,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
rayddium-io.online,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
pancakeewap-httpsfinamce.online,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
att-109902.weeblysite.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
203.0.113.42,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1
linktr.ee,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
am23fcu.firebaseapp.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
project2-9b962.web.app,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
project2-9b962.firebaseapp.com,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
project2b-e738b.web.app,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
project2b-e738b.firebaseapp.com,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
project2c-c1dff.web.app,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
project2c-c1dff.firebaseapp.com,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
urlz.fr,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
rb.gy,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
172.16.2.100,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1
8902050pgebsnss4cirstrctdrcvry106380.co.vu,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
www.club403.org,0,0,1,5,0,0,0,1,0,0,0,1,0,0,0,0,1
www.netfiix-https-sicher.com,0,0,0,2,0,1,0,1,0,1,0,0,1,1,1,1,1
ar-emiinent.firebaseapp.com,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
rayddium-io.online,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
pancakeewap-finamce.online,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
yahoo-104036.square.site,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
mugsrtcde.weebly.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
kissindjoi.weeblysite.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
attmailboxx987-108265.square.site,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
att-105351.square.site,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
634-104527dd64e.weeblysite.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
gdgdfghdg.weeblysite.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
cajatrujlllo.online,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,1
webbpritaliaonline.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
webbpritaliaonline.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
10.0.0.21,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
conto-clienteautenticato.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
conto-clienteautenticato.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
cajatrujlllo.online,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,1
aagkfr1oi1smuo.000webhostapp.com,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
rybhfwdigx.duckdns.org,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
simberly112.wixsite.com,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1
rxhtrfpraz.duckdns.org,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
nuxeapbu.weebly.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
aslkoucvmr.weebly.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
verify-dkb.webhop.info,0,0,0,2,0,0,0,1,1,0,1,1,1,1,1,1,1
verify-dkb.ath.cx,0,0,0,2,0,0,0,1,1,1,1,1,1,1,1,1,1
sparkasse.aktive-sicht.de,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1
verify-dkb.neat-url.com,0,0,0,3,0,0,0,1,1,1,1,1,1,1,1,1,1
verify-dkb.dyndns.info,0,0,0,2,0,0,0,1,1,1,1,1,1,1,1,1,1
radianceconsulting.net,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
carpanelapi.mergecar.com,0,0,1,3,0,0,0,0,0,1,0,0,1,1,1,1,1
att-yahoo-mail-106668.square.site,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
post-ch.ddns.net,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1
192.168.1.50,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
kusca.com.ar,0,0,1,5,0,0,0,1,0,1,0,0,0,0,0,0,1
att-104893.square.site,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
serservice.temp.swtest.ru,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1
